||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
Syndicate Bank|64191|1302556.70|1390509.50|113406.60|105273.40|2.40|2.60|1342437.40|-56023.50||173.70|6824.90||124272.30|113792.80|1.80|4.60|1473958.25|38272.10||186.40|6770.40||13167.30|10595.80|613.10|13064.20||13570.50|12308.20||11764.70||15950.70|14373.10|0.00|13900.00|0.00|18218.30|16353.00|458.00|15957.10|0.00|19304.00|17366.40|0.00|18261.00|0.00|19993.40|18462.80||17783.10||21550.00|19386.00||19274.20||22656.30|19870.00|0.00|19924.40|0.00|23764.00|21344.30|0.00|22501.40|0.00|23871.00|21319.80|1082.90|22992.10||25270.20|23699.50||22651.10||27585.10|25325.90|0.00|24021.40|0.00|28756.80|24964.80|0.00|26690.50|0.00|29748.60|25379.50|0.00|27133.00|0.00|28206.40|25403.90|0.00|26428.30|0.00|26769.50|24555.50|0.00|24712.10|0.00|27422.00|25133.00||25739.70||28197.30|26043.60|0.00|25543.70|0.00|29728.00|27413.30|0.00|27357.00|0.00|31568.40|29431.50|0.00|29006.50|0.00|34217.20|31671.40||31324.30|
T V S Motor Co. Ltd.|30911|25642.90|27797.90|48175.90|47276.30|543.20|3.10|26720.40|3822.00|724.30|1570.70|9557.30|15.70|68600.30|68093.30|2.50|141.50|28535.35|2335.70|781.60|1847.90|9375.90|22.80|8606.20|8392.70|0.00|8908.40|0.00|9396.20|9217.80|0.00|8515.40|0.00|10887.50|10778.90|0.00|10704.90|0.00|9529.80|9354.10|0.00|10248.00|0.00|9592.50|9198.80|124.10|8936.00|0.00|8087.80|7833.30|72.20|7634.80|0.00|8515.20|8388.50|102.00|8271.60|0.00|8997.50|8890.10|36.20|9257.30|0.00|7770.90|7590.20|-21.10|8150.70|308.50|9247.40|9244.50|0.00|8373.90|0.00|10351.30|10341.70|0.00|10229.30|0.00|8689.90|8687.10|0.00|8979.40|0.00|9194.00|9093.30|74.80|8983.50|32.70|9890.10|9887.00|0.00|9397.80|0.00|11331.10|11298.70|4.10|11299.30|0.00|10903.50|10894.50|0.00|10668.70|0.00|12320.50|12168.40|137.80|12048.50|381.90|13972.10|13929.60|0.00|13771.60|0.00|16188.20|16162.40|0.00|16087.70|0.00|16538.80|16466.50|0.00|16640.30|0.00|16352.90|16352.90|0.00|16045.40|0.00
Tata Chemicals Ltd.|20129|100017.60|90654.70|57718.30|51658.80|58.50|181.80|95336.15|8071.00|27.40||15924.40||65679.10|61694.90|381.40|189.40|93437.80|4242.60|167.30||15875.80||7870.80|7539.80|200.40|7755.10|0.00|7600.70|7546.80|0.10|8562.70|0.00|11960.80|11259.70|0.00|9681.90|0.00|13436.40|13072.90|0.00|9745.90|0.00|8235.00|8030.50|0.00|8718.60|0.00|7095.90|6689.30|0.00|7188.40|0.00|13194.60|12647.50|0.00|9836.10|0.00|12365.20|12240.30|0.00|10487.30|0.00|14132.10|9179.20|0.00|10041.30|0.00|12425.00|12073.70|0.00|19870.40|0.00|36494.70|36065.10|0.00|27443.50|0.00|25825.40|25658.50|0.00|24252.00|0.00|10510.40|10193.00|318.40|10124.50|0.00|14844.40|14407.10|0.00|12387.50|0.00|13868.60|12569.20|0.00|14209.90|0.00|15469.20|15381.90|0.00|13928.60|0.00|12510.10|12405.80|0.00|10106.80|23.70|14844.90|14606.60|0.00|17148.10|176.80|17370.10|16926.60|178.80|17157.80|0.00|18287.10|17756.60|0.00|13609.50|0.00|14083.40|13851.50|7.40|12685.90|100.80
Tata Communications Ltd.|61900|124767.70|122799.70|39869.80|35038.00|26.70||123783.70|7259.80||193.50|45048.00||38065.20|36439.60|21.90|0.10|120003.65|8187.80||146.60|48051.90|1084.80|10293.00|9595.00|0.00|9178.00|687.00|9510.00|9240.00|0.00|8630.00|30.00|10190.00|9660.00|140.00|9120.00|0.00|11129.70|10656.50|0.00|9706.90|0.00|11229.30|10390.40|0.00|9634.30|51.10|8877.20|8647.30|0.00|7580.70|0.00|8450.20|8043.30|0.00|7573.30|117.00|9226.40|8467.10|0.00|8959.30|1035.70|8900.50|8555.30|0.00|8340.20|10.50|9284.60|8708.80|0.00|8299.90|0.00|10357.70|9921.40|0.00|10028.50|956.00|10314.60|9994.80|0.00|9492.70|0.00|12732.40|8869.30|0.00|9708.70|0.00|8602.90|8428.90|0.00|8283.50|0.00|7929.90|7592.30|0.00|7825.40|0.00|11058.00|7697.50|3070.70|8240.00|0.00|9891.20|8461.70|-1094.70|8301.30|0.00|8712.00|8440.10|0.00|8315.70|0.00|8946.10|8724.30|19.00|8715.70|0.00|9899.70|9248.20|440.20|9413.50|0.00|9822.20|9172.20|0.00|9570.50|0.00
Tata Consultancy Services Ltd.|62013|186106.40|227606.80|234552.10|178353.20||28.10|206856.60|57962.60|771.90||27605.20|0.00|299311.20|223602.60||12.60|244934.50|57198.80|972.00||34221.80|584.00|30921.60|30852.10|0.00|23421.00|0.00|34328.50|33611.20|0.00|26361.60|0.00|36812.00|36644.70|0.00|27498.80|0.00|38488.30|38242.20|0.00|28983.10|0.00|41936.40|40901.60|662.80|31148.80|0.00|44234.80|41344.10|877.40|33496.30|0.00|47639.80|44867.30|824.90|36168.70|0.00|50363.20|47740.50|948.40|38573.30|0.00|51074.70|48946.60|865.10|39986.60|0.00|54213.70|52120.00|1048.10|42173.60|0.00|58097.40|56999.60|1097.80|46367.00|0.00|62083.60|58754.80|822.90|49964.70|0.00|53880.90|56165.60|1266.80|42808.20|0.00|56108.60|56096.00|0.00|43344.20|0.00|57444.00|57444.00|0.00|43968.00|0.00|59237.50|58833.90|0.00|43695.50|0.00|59430.40|58070.60|0.00|45027.70|0.00|64473.80|64109.50|0.00|48909.70|0.00|73706.70|72674.50|0.00|55580.20|0.00|77644.50|76272.60|0.00|57127.00|0.00|81876.40|79697.50|0.00|60384.60|0.00
Tata Global Beverages Ltd.|10791|38339.90|39674.90|21025.00|17246.30||26.30|38788.80|158.30|38.30|1275.70|1057.90|29.60|19713.00|18142.80||16.10|39978.25|116.30|32.20|1359.30|1120.30|30.00|2435.30|2190.70|0.00|2009.70|23.10|2655.80|2543.50|0.00|2321.10|0.00|3907.80|2740.00|680.00|2609.30|0.00|3600.70|2907.70|613.50|2597.80|0.00|2650.60|2512.30|60.30|2376.90|0.00|2953.40|2806.10|8.50|2341.70|0.00|3132.50|2837.20|2.40|2753.20|0.00|3600.80|3140.80|0.00|3226.80|0.00|4555.40|2750.20|1595.00|2728.80|0.00|3360.20|3149.70|0.00|2818.20|0.00|3736.80|3243.20|29.50|3361.60|0.00|4279.40|3827.50|0.00|3824.00|0.00|3870.00|3572.10|-29.50|3838.70|95.90|4319.60|4194.90|0.00|3848.80|0.00|7083.80|4263.60|4.80|4473.00|0.00|4713.50|4506.10|0.00|4387.50|21.90|4728.70|4191.50|-4.80|4368.50|-21.90|4593.10|4540.10|0.00|4166.60|0.00|4847.20|4476.60|0.00|4354.90|199.80|5272.10|4751.70|0.00|4887.80|1.50|4903.70|4342.70|0.00|4658.70|0.00
Tata Motors Ltd.|29102|382686.30|513273.00|403903.10|387568.60|68.40||447731.15|64001.80|783.60||111988.00|25821.30|516129.70|501553.70|||531447.95|15055.60|10190.20||134107.50|25051.10|68837.60|68696.50|96.90|60119.20|0.00|58354.70|57495.60|0.00|58389.50|3.80|66801.90|65852.00|0.00|63609.10|0.00|69793.90|68957.50|0.00|66017.40|0.00|83274.40|82670.00|0.00|74571.10|3.40|63510.00|60568.20|0.00|60215.90|0.00|67740.40|66726.50|0.00|61753.90|0.00|73710.30|72518.30|0.00|70117.60|0.00|88957.60|87495.20|0.00|81136.90|0.00|72440.50|69284.40|0.00|74917.30|0.00|75081.30|70788.50|0.00|69002.20|0.00|50140.20|47586.20|1558.90|50947.50|0.00|69764.50|68441.40|0.00|60166.50|0.00|67233.80|64040.20|0.00|64016.40|0.00|83986.90|79777.60|0.00|80407.70|0.00|89743.00|89740.90|0.00|87130.50|0.00|133501.30|122371.80|0.00|126575.90|8508.60|104855.60|104162.60|0.00|105482.80|0.00|113301.80|112488.80|0.00|110372.40|0.00|112853.00|112798.90|0.00|107302.10|0.00|144381.60|143255.20|0.00|137658.70|0.00
Tata Power Co. Ltd.|35103|161847.60|189830.50|74445.40|65057.80|18.20|31.00|175839.05|13211.70|5.30||57527.40|0.10|75130.60|66189.20|161.40||201684.50|16087.80|1.90||57829.40|0.10|12692.30|11638.00|524.30|11304.10|0.00|14093.70|13684.10|0.00|12875.20|0.00|12846.00|11997.90|0.00|10822.80|0.00|13988.50|11997.20|1476.70|11189.50|0.00|11762.70|9474.00|501.60|10835.40|0.00|16178.10|15114.80|0.00|14276.10|0.00|14909.60|13505.60|0.00|12335.30|0.00|14621.50|14194.00|13.10|12648.70|0.00|18428.40|16344.70|-13.10|16178.50|0.00|21133.30|20261.30|0.00|19227.80|0.00|21473.10|19588.80|0.00|18853.80|0.00|18228.70|17768.70|0.00|17077.90|0.00|17850.70|14743.50|0.00|14304.30|0.00|21232.00|20156.20|0.00|17461.20|0.00|17966.00|17210.90|0.00|16134.10|0.00|16116.80|15665.10|0.00|14637.90|0.00|18483.70|17950.50|0.00|16177.70|0.00|19954.40|18679.00|0.00|17264.60|0.00|18295.90|16360.70|0.00|15778.60|0.00|17371.20|16518.80|0.00|15840.50|0.00|18602.50|17626.30|103.40|15925.40|0.00
Tata Steel Ltd.|24105|691031.70|744823.40|280457.10|228639.40|77.50||717927.55|83692.20|414.30||121624.40|217.00|333383.50|266508.50||253.90|825868.40|83390.00|756.90||118051.00|156.30|41992.80|41005.30|343.90|32554.60|0.00|39773.80|38994.50|0.00|30938.60|0.00|43795.10|42022.80|0.00|32769.90|0.00|45682.00|44694.60|0.00|35834.70|0.00|50602.10|49804.40|0.00|38913.00|0.00|48583.50|41975.80|0.00|37133.30|1500.00|49567.20|47859.00|0.00|37817.80|0.00|50688.90|49739.20|0.00|40617.40|0.00|56307.60|57336.30|0.00|43095.70|0.00|61651.40|61529.20|0.00|48785.40|0.00|70543.30|68134.50|0.00|56509.10|0.00|48221.20|48104.00|0.00|49919.00|0.00|65824.50|65390.00|0.00|41902.20|0.00|56618.90|56155.50|0.00|48264.70|0.00|57681.60|56921.10|0.00|49027.60|0.00|66384.40|63748.80|0.00|54043.60|0.00|78072.80|73394.40|0.00|55604.10|0.00|65999.10|65514.80|0.00|53606.10|0.00|78394.20|71067.50|0.00|57299.20|0.00|74086.60|73973.50|0.00|58562.30|0.00|84997.30|83407.70|0.00|67089.20|0.00
Tata Teleservices (Maharashtra) Ltd.|61202|40257.40|46995.10|22844.00|25868.00|385.30||43626.25|6818.60||1330.90|35038.20|6296.20|34079.70|33554.50|303.90||53109.90|900.60||1527.60|48028.30|18315.90|3078.10|3071.00|0.00|4595.70|472.50|3242.70|3238.10|0.00|4368.60|0.00|3416.40|3400.60|0.00|4345.90|0.00|3671.90|3626.80|0.00|4263.60|0.00|3962.70|3804.30|103.00|4421.70|0.00|4248.00|3933.40|0.00|4532.30|0.00|4293.00|4288.70|0.00|4786.10|0.00|4595.00|4470.60|109.40|4869.30|0.00|4911.90|4557.20|317.80|5117.80|0.00|5048.90|5003.60|0.00|5396.10|0.00|5182.40|5134.40|0.00|5655.90|0.00|5158.60|5140.70|0.00|5609.30|0.00|5149.70|5140.10|0.00|5474.30|0.00|5199.30|4926.20|166.60|5429.90|0.00|5454.30|5340.70|45.40|6534.10|0.00|6068.80|5926.30|10.70|7076.40|0.00|6055.70|6297.80|-222.70|6717.80|0.00|13981.40|5600.90|0.00|8402.60|0.00|5843.00|5601.00|161.90|6822.00|0.00|5847.20|5774.40|0.00|6643.00|0.00|5896.70|5794.90|0.00|9201.60|0.00
Tech Mahindra Ltd.|62013|29662.00|58442.00|45911.00|38483.00|||44052.00|14123.00||13.00|5940.00|41.00|51338.00|44371.00|11.00||59688.00|4706.00||49.00|6000.00|30.00|3983.00|3902.00|0.00|3172.00|0.00|5565.00|5527.00|0.00|4563.00|0.00|6817.00|6414.00|339.00|5066.00|0.00|7133.00|7169.00|0.00|5680.00|0.00|8569.00|8467.00|0.00|11784.00|5250.00|8525.80|8431.00|0.00|6806.80|0.00|8844.00|8593.00|0.00|7035.00|0.00|9401.60|9116.40|0.00|7437.30|0.00|10427.70|9907.00|164.80|12498.40|4401.00|11257.30|11007.00|0.00|8713.70|0.00|11420.40|11420.40|0.00|8461.30|0.00|11023.50|11023.50|0.00|8874.50|0.00|10193.10|10126.60|0.00|7979.20|0.00|10602.30|10602.30|0.00|9255.00|84.90|11467.90|11097.60|0.00|9362.70|0.00|11557.70|11499.00|0.00|9899.70|0.00|12418.40|11638.70|0.00|10100.10|0.00|11319.80|10935.70|0.00|10036.50|0.00|15010.10|14917.70|0.00|13170.40|0.00|12338.80|11812.30|0.00|10318.90|0.00|12297.00|11989.30|0.00|10472.00|0.00
Titan Company Ltd.|32111|18013.50|21117.90|48152.20|46765.70||32.40|19565.70|3343.50|25.70|2111.50|2626.30|160.30|66595.00|67293.60||18.10|29383.95|10400.60|30.20|3032.70|2830.60|135.00|4241.10|4230.60|0.80|3914.00|0.00|4424.20|4410.10|0.00|4890.90|0.00|5265.40|5260.10|0.00|5479.00|20.50|5340.50|5331.80|0.00|5281.40|1.80|5969.80|5965.70|0.00|6845.50|0.20|6580.00|6574.70|0.00|6452.90|53.50|7118.10|7115.30|0.00|9288.60|26.70|8028.00|8024.90|0.00|7565.30|0.00|8229.00|8228.70|0.00|8124.50|0.00|8112.90|8104.50|0.00|8161.10|0.00|10899.20|10887.60|0.00|11947.70|0.00|10251.80|10240.30|0.00|10011.60|109.20|8822.50|8810.40|0.00|8163.10|0.00|8838.00|8829.20|0.00|8342.40|0.00|11506.70|11468.80|7.00|12431.30|0.00|13366.40|13338.10|0.00|11977.00|29.20|13151.70|13113.90|-7.00|12725.50|0.00|12608.50|12528.30|0.00|13540.30|0.00|15441.20|15360.60|0.00|16786.40|0.00|19700.70|19548.10|0.00|18411.20|32.20|18019.30|17779.40|0.00|17730.50|0.00
Triveni Engineering & Inds. Ltd.|10721|26190.30|25646.80|24252.40|25177.40|11.30|0.40|25754.80|-18.80|32.60||12352.00|72.90|18016.50|17753.70|41.60|2.20|23977.50|1669.60||6.30|10721.10|35.70|3443.90|3419.20|0.00|4526.10|11.40|3026.80|2999.80|0.00|1695.20|0.00|3391.50|2883.10|500.90|1796.30|0.00|3121.70|3070.10|0.00|4272.20|0.00|3773.60|3644.80|118.70|6668.20|85.60|3590.00|3435.10|133.90|3148.00|0.00|3500.50|3044.90|0.00|1889.50|11.20|3495.60|3474.20|0.00|3783.80|0.00|3827.20|3782.70|0.00|8079.30|0.00|4419.70|4418.40|0.00|2216.10|0.00|4287.20|4274.20|0.00|1870.50|0.00|3665.00|3657.10|0.00|4928.70|0.00|4604.20|4578.50|0.00|6190.40|0.00|5598.80|5186.00|0.00|2247.20|78.30|5586.40|5538.50|0.00|2233.30|43.30|5078.40|4876.30|100.00|6316.70|0.00|6046.70|5949.20|0.00|12539.20|0.00|6148.10|5915.60|63.90|2928.20|0.00|6166.00|5881.10|201.10|2538.30|0.00|4598.60|4588.70|0.00|4862.70|0.00|4667.70|4579.90|52.20|9535.10|0.00
Tulip Telecom Ltd.|61900|20834.90|26230.20|19901.40|17367.90|||23532.55|1846.00||9.90|12078.80||23544.30|20764.30||0.00|29457.10|3380.80||28.60|13601.80||1786.20|1776.30|1.70|1571.50|3.50|1427.80|1426.90|0.00|1165.30|0.00|1851.80|1851.20|0.00|1656.10|0.00|2221.70|2219.90|0.00|1882.00|0.00|2931.00|2909.80|0.00|2569.20|0.00|2129.00|2127.80|0.00|1278.10|0.00|2649.20|2584.80|0.00|2215.50|0.00|3414.60|3330.80|0.00|3019.90|0.00|4202.60|4121.50|0.00|3526.10|1.50|3346.10|3324.70|0.00|2826.70|0.00|3785.30|3785.30|0.00|3282.40|0.00|4356.60|4356.60|0.00|3728.80|0.00|5195.30|4616.20|0.00|4135.00|0.00|4541.00|4429.20|0.00|4108.30|0.00|4946.90|4910.30|0.00|4286.20|0.00|5008.50|5008.50|0.00|4372.00|0.00|5303.10|5303.10||4915.40||5251.80|5251.80|0.00|4506.90|0.00|5864.10|5850.30|0.00|4963.00|0.00|6033.60|6022.30|0.00|5146.20|0.00|6382.30|6382.30||5515.80|
Uco Bank|64191|1119959.10|1378082.70|105000.40|94878.50|1.10||1244465.70|103373.10||188.70|7095.00|116.40|123004.70|113939.30|0.50||1503990.15|82157.70||216.80|7373.10|94.50|13156.60|11705.70|98.10|13744.00||13086.80|12230.30||12471.80||13833.90|13036.00|0.00|12827.10|0.00|14519.80|13391.70|0.00|13290.30|0.00|16164.30|14254.40|0.00|15854.80|0.00|17241.80|15266.60|557.10|15913.10|0.00|17341.90|15545.30|0.00|16236.60|0.00|18247.30|16491.60|0.00|17419.50|0.00|20887.80|17781.90|354.90|20027.90|0.00|19991.60|18374.50|0.00|18657.20|0.00|21885.40|19937.30|5.60|20384.50|0.00|24335.20|21259.20|0.00|22618.90|0.00|25206.20|21642.80|0.00|24180.60|0.00|25836.80|23314.60|0.00|24048.30|0.00|26098.20|23842.30|0.00|24021.00|0.00|26087.60|23747.20|0.00|23629.40|0.00|26900.00|24359.10|0.00|23102.00|0.00|28627.30|26728.50|0.00|26025.20|0.00|29645.40|27352.30||28453.50||31083.90|28942.30||28071.50||33605.50|30684.90||31346.50|
Ultratech Cement Ltd.|23942|77364.70|83667.80|78513.00|67626.50|14.90||80516.25|15613.50|132.00|1340.50|49416.80|55.50|152422.40|139041.30|47.90||142621.40|20139.00|230.50|3455.60|114002.50|372.80|10734.60|10603.50|26.50|9113.00|0.00|11937.20|11803.20|0.00|9927.80|0.00|10164.40|10045.40|0.00|8901.10|0.00|12771.30|12604.50|0.00|10606.80|0.00|14848.20|14653.40|0.00|12137.20|0.00|13846.90|13599.60|0.00|11119.90|0.00|11935.00|11786.40|0.00|10372.50|0.00|14023.40|13926.40|0.00|11536.50|0.00|16289.70|16232.20|0.00|13256.30|0.00|15225.80|15079.20|0.00|13202.70|0.00|14240.40|14169.80|0.00|12615.10|0.00|16511.60|16372.40|0.00|14964.80|0.00|18888.50|18750.00|0.00|15201.10|0.00|19870.00|19689.30|0.00|15638.10|0.00|15664.60|15527.10|0.00|13848.10|0.00|16816.30|16691.70|0.00|14933.90|0.00|19350.20|19223.70|0.00|16325.90|0.00|40754.90|40232.40|0.00|35971.60|0.00|32830.90|32445.00|0.00|31981.70|0.00|37758.60|37408.70|0.00|34742.50|0.00|46987.20|45385.40|1155.40|39499.40|0.00
Union Bank Of India|64191|1613376.60|1955094.60|155567.50|134818.30||6.40|1767725.85|116181.70||389.80|22954.90|175.00|185896.20|165076.70||3.60|2145451.75|43792.20||940.80|22791.90|136.40|17454.70|15722.70||16008.60||17914.40|16656.80||16246.30||19248.50|17723.70|0.00|17306.90|0.00|20154.60|18492.00|0.00|17596.20|0.00|23367.20|20949.30||21081.40||22894.80|20741.10|0.00|20643.80|0.00|25256.50|22383.90|0.00|22498.70|0.00|28060.40|24223.00||24410.20||29131.00|25399.90||23919.70||27548.80|25123.10|0.00|25265.90|0.00|31145.30|28289.70|0.00|27530.70|0.00|36987.20|32584.00|449.30|30269.80|0.00|38487.30|32897.00||33836.70||37040.00|31908.40||32618.10||37609.00|32318.80||32558.00||37583.20|33182.80||32241.90||40542.00|35616.70||34607.00||41206.60|36856.70||35192.40||44618.80|39522.40||41584.90||46930.60|41994.60||41134.90||52158.10|46152.60||46182.40|
Uniphos Enterprises Ltd.|64300|1401.30|1874.30|313.30|114.90|273.60||1637.80|-641.70|||287.30||51.50|69.80|||1579.20|-3.00|||1739.40||19.50|2.90|0.00|11.30|0.00|3.00|||8.20||14.00|||8.40||4.10|||8.20||22.20|0.00|2.10|25.60||9.20||0.00|14.10|0.00|9.20||0.00|17.60|0.00|9.20||0.00|18.60|0.00|9.30||0.00|35.20|0.00|7.10|||25.60||30.80|||34.60||141.50||138.60|34.20||0.30||0.00|24.80|||||15.90||312.70||273.60|63.00||3.60||3.10|20.70||-3.10||-3.10|15.20|||||17.20||50.00|||19.40|||||16.80||3.40|||18.30|
Unitech Ltd.|34|171478.80|200782.30|22227.80|16967.90|0.80|6.80|186130.55|-19605.40||28.10|1070.80||23772.40|18712.00||2.80|214680.05|-3659.80||31.50|1044.80||2204.70|2080.50||1857.60||3062.10|2677.60||2383.80||3926.90|3847.60||2979.80||10165.90|10027.40||5617.40||8841.50|8487.10||5195.50||7887.30|7636.60||4422.40||5726.00|5295.40||4266.30||8487.40|8185.10||4772.60||7596.50|6905.60||5738.00||7746.20|7398.20||4736.40||9063.30|8446.50||4902.70||3246.70|2030.10||3059.80||4492.90|647.70||4421.80||4250.30|3605.80||2807.80||4051.20|3317.30||2822.30||7157.20|6428.80||5798.20||6758.40|6023.10||5298.40||6970.40|6188.80||5194.60||5215.10|4262.40||3928.20||4751.50|3880.70||3358.00||4744.30|3725.10||4140.20|
United Spirits Ltd.|11019|60164.60|94700.40|93156.70|91028.30|8.10||77432.50|10924.70|35.30|4735.40|7066.60|29.30|129699.60|128675.90|377.30||98388.05|4877.70|54.30|6705.20|9122.00|25.20|3654.10|3503.80|0.00|3563.90|0.00|5412.80|5335.40|0.00|4913.70|0.00|7540.00|7534.90|0.00|7247.80|0.00|10510.00|7710.70|2656.70|6599.60|0.00|6909.50|6550.00|0.00|6972.00|0.00|7705.70|7657.10|0.00|6571.10|0.00|7638.30|7564.50|0.00|6797.10|0.00|8985.40|8960.60|0.00|8255.10|0.00|7750.00|7664.60|0.00|7840.20|0.00|10406.00|10205.10|0.00|8965.90|0.00|9145.10|9113.60|0.00|8434.70|0.00|10432.50|10402.40|0.00|11384.60|0.00|9242.20|9229.00|0.00|9549.00|0.00|13199.40|12480.50|700.00|11853.30|0.00|10919.10|10875.50|9.60|10492.00|0.00|13580.40|13579.70|0.00|12991.50|0.00|12720.50|12663.20|0.00|12854.70|0.00|14706.10|14706.10|0.00|13924.00|0.00|13655.40|13655.30|0.00|13120.50|0.00|20083.70|19694.00|368.40|19304.00|0.00|16270.40|16125.50|0.00|17285.50|0.00
Vedanta Ltd.|24104|65540.50|122056.20|57849.70|37978.50|1.20||93798.35|20042.70|2.90||5121.50||84079.10|49872.40|6.50||132066.55|29611.00|||7598.70|180.10|6016.40|5937.10||3808.50||4399.10|4308.70||3324.10||2404.50|2262.40||2531.30||5998.50|5878.90||3824.90||7388.90|7266.20||4388.20||4128.70|4027.40||3329.40||3280.40|3099.40||2585.10||11979.30|11802.60||6768.40||16213.80|15958.90||8189.40||12549.60|11957.10||7030.90||8037.80|7599.40||5802.60||13129.40|12541.60||7268.00||14209.50|13536.10|120.70|8783.70||10211.30|9483.20||5987.00||5338.50|4473.30||5311.80||15146.60|13864.60||8393.10||18903.90|17684.70||10037.20||19651.40|18145.10|0.00|10107.60|0.00|8947.90|7660.40|0.00|6432.30|0.00|17342.10|16184.40|0.00|8806.00|0.00|29435.60|27780.40|0.00|15824.40|0.00
Videocon Industries Ltd.|26401|179325.50|229143.30|147189.20|139953.50|35.80||204234.40|-4937.30||1381.90|51540.40|61.40|130257.80|124999.10|338.90||274754.85|-51655.60||1239.50|55850.60|820.20|19019.00|18511.40|0.00|16446.70|0.00|19615.90|19302.40|0.00|17424.90|0.00|20872.40|20581.10|0.00|19036.80|0.00|21055.90|20586.70|0.00|18870.50|0.00|21944.50|21529.70|0.00|19668.60|0.00|22653.50|22047.30|0.00|20383.30|0.00|23223.20|22753.80|0.00|20964.00|0.00|23968.80|23621.60|0.00|21349.70|0.00|25387.80|25149.10|0.00|22886.50|0.00|26204.30|26129.00|0.00|23626.30|372.20|26311.00|26260.20|0.00|24717.70|702.30|20806.20|20746.70|0.00|20125.80|211.30|22206.00|22143.60|0.00|21502.40|0.00|24727.60|24613.70|0.00|23526.60|0.00|26286.70|26212.40|0.00|24921.20|0.00|28103.80|28065.60|0.00|26619.80|0.00|28461.60|28408.30|0.00|27033.20|0.00|29053.90|28936.50|0.00|27600.70|0.00|29980.40|29854.60|0.00|28526.50|0.00|31603.10|31511.70|0.00|29995.70|0.00|31240.30|31157.60|0.00|29556.70|0.00
